Collector (PI),Specimen_ID,Genus,Species,order,sex,mass (g),date,Country,Departament,Municipio,Locality,Longitude,Latitude,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,51.0,Jacana,jacana,Charadriiformes,U,62.0,20130311,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,E8",50,0.0,0.0,0.0,0.0
GAL,51.0,Tangara,cayana,Passeriformes,U,16.5,20150325,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,H3",2.0,0.0,0.0,0.0,0.0
GAL,52.0,Dryocopus,lineatus,Piciformes,U,180.0,2013053,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,A9",12.0,0.0,0.0,0.0,0.0
GAL,54.0,Progne,tapera,Passeriformes,U,36.0,2013055,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,F7",5.0,0.0,0.0,0.0,0.0
GAL,1134.0,Saltator,maximus,Passeriformes,U,34.0,2013038,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,B4",1.0,0.0,0.0,0.0,0.0
GAL,1137.0,Momotus,momota,Coraciiformes,U,110.0,2013038,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,B2",10.0,0.0,0.0,0.0,0.0
GAL,1138.0,Gallinago,paraguaiae,Charadriiformes,U,98.0,2013039,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,A10",100,0.0,0.0,0.0,0.0
GAL,1146.0,Colinus,cristatus,Galliformes,U,132.0,20130311,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,B1",15.0,0.0,0.0,0.0,0.0
GAL,1149.0,Brachygalba,lugubris,Galbuliformes,U,16.75,2013053,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"E1,J6",0.0,5.0,0.0,0.0,0.0
GAL,1153.0,Colinus,cristatus,Galliformes,U,12.5,2013054,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,B3",30.0,0.0,0.0,0.0,0.0
GAL,1157.0,Chaetura,meridionalis,Apodiformes,U,20.25,2013056,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,A7",2.0,0.0,0.0,0.0,0.0
GAL,1192.0,Pachyramphus,polychopterus,Passeriformes,U,20.25,2013122,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,C6",1.0,0.0,0.0,0.0,0.0
GAL,1194.0,Arremonops,conirostris,Passeriformes,U,30.0,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,F9",20.0,0.0,0.0,0.0,0.0
GAL,1195.0,Ramphocelus,carbo,Passeriformes,U,23.0,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,E7",3.0,0.0,0.0,0.0,0.0
GAL,1197.0,Picumnus,squamulatus,Piciformes,U,12.0,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,C2",2.0,0.0,0.0,0.0,0.0
GAL,1198.0,Momotus,momota,Coraciiformes,U,120.25,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,D2",24.0,0.0,0.0,0.0,0.0
GAL,1199.0,Ramphocelus,carbo,Passeriformes,U,24.5,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,D10",6.0,0.0,0.0,0.0,0.0
GAL,1202.0,Thraupis,palmarum,Passeriformes,U,35.0,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,F1",30.0,0.0,0.0,0.0,0.0
